,drug,HC03_VC03,HC03_VC04,HC03_VC06,HC03_VC07,HC03_VC08,HC03_VC09,HC03_VC10,HC03_VC11,HC03_VC12,HC03_VC13,HC03_VC14,HC03_VC15,HC03_VC17,HC03_VC18
0,high,HC03_VC03_1,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_1,HC03_VC10_2,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_2,HC03_VC17_3,HC03_VC18_4
1,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_2,HC03_VC07_4,HC03_VC08_3,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_3,HC03_VC14_2,HC03_VC15_2,HC03_VC17_2,HC03_VC18_3
2,high,HC03_VC03_2,HC03_VC04_3,HC03_VC06_1,HC03_VC07_4,HC03_VC08_3,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1,HC03_VC13_2,HC03_VC14_2,HC03_VC15_2,HC03_VC17_1,HC03_VC18_3
3,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_1,HC03_VC07_2,HC03_VC08_2,HC03_VC09_3,HC03_VC10_3,HC03_VC11_2,HC03_VC12_1,HC03_VC13_3,HC03_VC14_3,HC03_VC15_2,HC03_VC17_1,HC03_VC18_2
4,high,HC03_VC03_4,HC03_VC04_1,HC03_VC06_3,HC03_VC07_3,HC03_VC08_3,HC03_VC09_1,HC03_VC10_2,HC03_VC11_1,HC03_VC12_1,HC03_VC13_4,HC03_VC14_3,HC03_VC15_2,HC03_VC17_2,HC03_VC18_3
5,high,HC03_VC03_1,HC03_VC04_4,HC03_VC06_2,HC03_VC07_4,HC03_VC08_4,HC03_VC09_3,HC03_VC10_3,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_3,HC03_VC17_3,HC03_VC18_4
6,high,HC03_VC03_3,HC03_VC04_2,HC03_VC06_1,HC03_VC07_3,HC03_VC08_1,HC03_VC09_1,HC03_VC10_3,HC03_VC11_2,HC03_VC12_1,HC03_VC13_3,HC03_VC14_4,HC03_VC15_3,HC03_VC17_1,HC03_VC18_4
7,high,HC03_VC03_2,HC03_VC04_2,HC03_VC06_2,HC03_VC07_3,HC03_VC08_2,HC03_VC09_1,HC03_VC10_2,HC03_VC11_1,HC03_VC12_1,HC03_VC13_3,HC03_VC14_3,HC03_VC15_3,HC03_VC17_1,HC03_VC18_3
8,high,HC03_VC03_3,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2,HC03_VC13_1,HC03_VC14_1,HC03_VC15_1,HC03_VC17_4,HC03_VC18_1
9,high,HC03_VC03_4,HC03_VC04_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_1,HC03_VC10_3,HC03_VC11_1,HC03_VC12_1,HC03_VC13_1,HC03_VC14_1,HC03_VC15_1,HC03_VC17_4,HC03_VC18_3
