,drug,HC03_VC156,HC03_VC157,HC03_VC158,HC03_VC159,HC03_VC160,HC03_VC161,HC03_VC162
0,high,HC03_VC156_1,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
1,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_2,HC03_VC159_1,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
2,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_4,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
3,high,HC03_VC156_4,HC03_VC157_2,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_2
4,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_3,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
5,high,HC03_VC156_1,HC03_VC157_2,HC03_VC158_2,HC03_VC159_1,HC03_VC160_1,HC03_VC161_3,HC03_VC162_2
6,high,HC03_VC156_3,HC03_VC157_2,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
7,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_2,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
8,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_2,HC03_VC159_3,HC03_VC160_2,HC03_VC161_4,HC03_VC162_3
9,high,HC03_VC156_3,HC03_VC157_1,HC03_VC158_3,HC03_VC159_2,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
10,high,HC03_VC156_4,HC03_VC157_2,HC03_VC158_3,HC03_VC159_2,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
11,high,HC03_VC156_3,HC03_VC157_4,HC03_VC158_3,HC03_VC159_1,HC03_VC160_1,HC03_VC161_4,HC03_VC162_3
12,high,HC03_VC156_2,HC03_VC157_3,HC03_VC158_3,HC03_VC159_2,HC03_VC160_2,HC03_VC161_1,HC03_VC162_2
13,high,HC03_VC156_3,HC03_VC157_3,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_3,HC03_VC162_3
14,high,HC03_VC156_2,HC03_VC157_4,HC03_VC158_3,HC03_VC159_1,HC03_VC160_1,HC03_VC161_1,HC03_VC162_3
15,high,HC03_VC156_1,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_1,HC03_VC161_3,HC03_VC162_2
16,high,HC03_VC156_3,HC03_VC157_2,HC03_VC158_3,HC03_VC159_2,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
17,high,HC03_VC156_2,HC03_VC157_2,HC03_VC158_1,HC03_VC159_2,HC03_VC160_1,HC03_VC161_4,HC03_VC162_1
18,high,HC03_VC156_4,HC03_VC157_2,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
19,high,HC03_VC156_1,HC03_VC157_4,HC03_VC158_3,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_2
20,high,HC03_VC156_1,HC03_VC157_4,HC03_VC158_4,HC03_VC159_2,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
21,high,HC03_VC156_4,HC03_VC157_1,HC03_VC158_4,HC03_VC159_3,HC03_VC160_2,HC03_VC161_1,HC03_VC162_3
22,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_1,HC03_VC159_3,HC03_VC160_2,HC03_VC161_2,HC03_VC162_3
23,high,HC03_VC156_4,HC03_VC157_4,HC03_VC158_3,HC03_VC159_1,HC03_VC160_2,HC03_VC161_2,HC03_VC162_1
24,high,HC03_VC156_3,HC03_VC157_3,HC03_VC158_1,HC03_VC159_1,HC03_VC160_2,HC03_VC161_4,HC03_VC162_1
