,drug,HC03_VC182,HC03_VC183,HC03_VC184,HC03_VC185,HC03_VC186,HC03_VC187,HC03_VC188,HC03_VC189,HC03_VC190,HC03_VC191,HC03_VC192,HC03_VC193,HC03_VC194,HC03_VC195,HC03_VC196,HC03_VC197,HC03_VC198,HC03_VC199,HC03_VC200,HC03_VC201,HC03_VC202,HC03_VC203,HC03_VC204,HC03_VC205,HC03_VC206,HC03_VC207,HC03_VC208,HC03_VC209
0,high,HC03_VC182_1,HC03_VC183_4,HC03_VC184_1,HC03_VC185_3,HC03_VC186_2,HC03_VC187_4,HC03_VC188_4,HC03_VC189_4,HC03_VC190_3,HC03_VC191_4,HC03_VC192_2,HC03_VC193_2,HC03_VC194_3,HC03_VC195_1,HC03_VC196_1,HC03_VC197_3,HC03_VC198_1,HC03_VC199_1,HC03_VC200_1,HC03_VC201_4,HC03_VC202_4,HC03_VC203_2,HC03_VC204_1,HC03_VC205_3,HC03_VC206_3,HC03_VC207_1,HC03_VC208_4,HC03_VC209_1
1,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_2,HC03_VC185_3,HC03_VC186_3,HC03_VC187_4,HC03_VC188_1,HC03_VC189_3,HC03_VC190_4,HC03_VC191_4,HC03_VC192_3,HC03_VC193_3,HC03_VC194_4,HC03_VC195_4,HC03_VC196_3,HC03_VC197_4,HC03_VC198_4,HC03_VC199_2,HC03_VC200_3,HC03_VC201_2,HC03_VC202_2,HC03_VC203_3,HC03_VC204_3,HC03_VC205_2,HC03_VC206_4,HC03_VC207_3,HC03_VC208_3,HC03_VC209_2
2,high,HC03_VC182_2,HC03_VC183_2,HC03_VC184_2,HC03_VC185_3,HC03_VC186_1,HC03_VC187_2,HC03_VC188_3,HC03_VC189_4,HC03_VC190_3,HC03_VC191_3,HC03_VC192_3,HC03_VC193_2,HC03_VC194_3,HC03_VC195_3,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_2,HC03_VC200_4,HC03_VC201_3,HC03_VC202_3,HC03_VC203_3,HC03_VC204_2,HC03_VC205_3,HC03_VC206_3,HC03_VC207_3,HC03_VC208_1,HC03_VC209_2
3,high,HC03_VC182_3,HC03_VC183_2,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_2,HC03_VC188_3,HC03_VC189_1,HC03_VC190_3,HC03_VC191_2,HC03_VC192_3,HC03_VC193_4,HC03_VC194_2,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_4,HC03_VC199_2,HC03_VC200_3,HC03_VC201_3,HC03_VC202_3,HC03_VC203_3,HC03_VC204_3,HC03_VC205_3,HC03_VC206_1,HC03_VC207_3,HC03_VC208_1,HC03_VC209_2
4,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_4,HC03_VC188_2,HC03_VC189_4,HC03_VC190_4,HC03_VC191_4,HC03_VC192_3,HC03_VC193_4,HC03_VC194_4,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_4,HC03_VC199_1,HC03_VC200_2,HC03_VC201_4,HC03_VC202_4,HC03_VC203_3,HC03_VC204_3,HC03_VC205_3,HC03_VC206_4,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
5,high,HC03_VC182_1,HC03_VC183_4,HC03_VC184_1,HC03_VC185_2,HC03_VC186_1,HC03_VC187_3,HC03_VC188_4,HC03_VC189_1,HC03_VC190_2,HC03_VC191_1,HC03_VC192_1,HC03_VC193_1,HC03_VC194_2,HC03_VC195_2,HC03_VC196_2,HC03_VC197_2,HC03_VC198_2,HC03_VC199_1,HC03_VC200_1,HC03_VC201_4,HC03_VC202_3,HC03_VC203_2,HC03_VC204_1,HC03_VC205_2,HC03_VC206_2,HC03_VC207_2,HC03_VC208_2,HC03_VC209_2
6,high,HC03_VC182_3,HC03_VC183_2,HC03_VC184_2,HC03_VC185_3,HC03_VC186_3,HC03_VC187_3,HC03_VC188_2,HC03_VC189_3,HC03_VC190_4,HC03_VC191_2,HC03_VC192_3,HC03_VC193_3,HC03_VC194_2,HC03_VC195_3,HC03_VC196_3,HC03_VC197_4,HC03_VC198_4,HC03_VC199_2,HC03_VC200_4,HC03_VC201_2,HC03_VC202_1,HC03_VC203_3,HC03_VC204_3,HC03_VC205_3,HC03_VC206_1,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
7,high,HC03_VC182_2,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_2,HC03_VC188_4,HC03_VC189_4,HC03_VC190_3,HC03_VC191_4,HC03_VC192_2,HC03_VC193_3,HC03_VC194_2,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_4,HC03_VC199_2,HC03_VC200_4,HC03_VC201_3,HC03_VC202_3,HC03_VC203_3,HC03_VC204_3,HC03_VC205_4,HC03_VC206_2,HC03_VC207_3,HC03_VC208_2,HC03_VC209_1
8,high,HC03_VC182_3,HC03_VC183_2,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_3,HC03_VC188_2,HC03_VC189_2,HC03_VC190_1,HC03_VC191_3,HC03_VC192_1,HC03_VC193_3,HC03_VC194_4,HC03_VC195_3,HC03_VC196_3,HC03_VC197_1,HC03_VC198_4,HC03_VC199_2,HC03_VC200_3,HC03_VC201_1,HC03_VC202_1,HC03_VC203_3,HC03_VC204_2,HC03_VC205_2,HC03_VC206_2,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
9,high,HC03_VC182_4,HC03_VC183_3,HC03_VC184_1,HC03_VC185_3,HC03_VC186_3,HC03_VC187_4,HC03_VC188_3,HC03_VC189_4,HC03_VC190_4,HC03_VC191_4,HC03_VC192_3,HC03_VC193_3,HC03_VC194_4,HC03_VC195_4,HC03_VC196_3,HC03_VC197_4,HC03_VC198_3,HC03_VC199_2,HC03_VC200_1,HC03_VC201_4,HC03_VC202_3,HC03_VC203_3,HC03_VC204_1,HC03_VC205_3,HC03_VC206_4,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
10,high,HC03_VC182_3,HC03_VC183_2,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_3,HC03_VC188_3,HC03_VC189_4,HC03_VC190_1,HC03_VC191_4,HC03_VC192_2,HC03_VC193_4,HC03_VC194_3,HC03_VC195_4,HC03_VC196_1,HC03_VC197_4,HC03_VC198_4,HC03_VC199_2,HC03_VC200_4,HC03_VC201_1,HC03_VC202_2,HC03_VC203_3,HC03_VC204_3,HC03_VC205_4,HC03_VC206_4,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
11,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_3,HC03_VC187_4,HC03_VC188_4,HC03_VC189_4,HC03_VC190_4,HC03_VC191_4,HC03_VC192_2,HC03_VC193_4,HC03_VC194_3,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_4,HC03_VC199_2,HC03_VC200_3,HC03_VC201_2,HC03_VC202_4,HC03_VC203_3,HC03_VC204_1,HC03_VC205_3,HC03_VC206_4,HC03_VC207_3,HC03_VC208_4,HC03_VC209_2
12,high,HC03_VC182_2,HC03_VC183_4,HC03_VC184_2,HC03_VC185_2,HC03_VC186_2,HC03_VC187_3,HC03_VC188_3,HC03_VC189_1,HC03_VC190_1,HC03_VC191_1,HC03_VC192_3,HC03_VC193_1,HC03_VC194_3,HC03_VC195_2,HC03_VC196_3,HC03_VC197_2,HC03_VC198_2,HC03_VC199_1,HC03_VC200_3,HC03_VC201_4,HC03_VC202_4,HC03_VC203_2,HC03_VC204_3,HC03_VC205_2,HC03_VC206_1,HC03_VC207_2,HC03_VC208_2,HC03_VC209_2
13,high,HC03_VC182_3,HC03_VC183_1,HC03_VC184_3,HC03_VC185_3,HC03_VC186_2,HC03_VC187_3,HC03_VC188_3,HC03_VC189_4,HC03_VC190_1,HC03_VC191_3,HC03_VC192_3,HC03_VC193_2,HC03_VC194_3,HC03_VC195_3,HC03_VC196_3,HC03_VC197_3,HC03_VC198_4,HC03_VC199_2,HC03_VC200_3,HC03_VC201_1,HC03_VC202_1,HC03_VC203_3,HC03_VC204_2,HC03_VC205_4,HC03_VC206_3,HC03_VC207_3,HC03_VC208_1,HC03_VC209_2
14,high,HC03_VC182_3,HC03_VC183_4,HC03_VC184_3,HC03_VC185_2,HC03_VC186_3,HC03_VC187_4,HC03_VC188_4,HC03_VC189_4,HC03_VC190_3,HC03_VC191_4,HC03_VC192_3,HC03_VC193_3,HC03_VC194_4,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_4,HC03_VC199_1,HC03_VC200_3,HC03_VC201_4,HC03_VC202_4,HC03_VC203_3,HC03_VC204_1,HC03_VC205_4,HC03_VC206_4,HC03_VC207_3,HC03_VC208_4,HC03_VC209_1
15,high,HC03_VC182_1,HC03_VC183_3,HC03_VC184_1,HC03_VC185_2,HC03_VC186_1,HC03_VC187_2,HC03_VC188_4,HC03_VC189_2,HC03_VC190_1,HC03_VC191_2,HC03_VC192_1,HC03_VC193_1,HC03_VC194_3,HC03_VC195_2,HC03_VC196_1,HC03_VC197_2,HC03_VC198_2,HC03_VC199_1,HC03_VC200_2,HC03_VC201_3,HC03_VC202_3,HC03_VC203_2,HC03_VC204_1,HC03_VC205_2,HC03_VC206_1,HC03_VC207_2,HC03_VC208_2,HC03_VC209_1
16,high,HC03_VC182_2,HC03_VC183_2,HC03_VC184_2,HC03_VC185_2,HC03_VC186_3,HC03_VC187_4,HC03_VC188_2,HC03_VC189_2,HC03_VC190_3,HC03_VC191_3,HC03_VC192_3,HC03_VC193_3,HC03_VC194_3,HC03_VC195_4,HC03_VC196_3,HC03_VC197_3,HC03_VC198_3,HC03_VC199_2,HC03_VC200_2,HC03_VC201_2,HC03_VC202_1,HC03_VC203_2,HC03_VC204_3,HC03_VC205_2,HC03_VC206_3,HC03_VC207_1,HC03_VC208_3,HC03_VC209_2
