,drug,HC03_VC35,HC03_VC36,HC03_VC37,HC03_VC38,HC03_VC39,HC03_VC40,HC03_VC42,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC46,HC03_VC47
0,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_2,HC03_VC40_4,HC03_VC42_1,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_3,HC03_VC47_4
1,high,HC03_VC35_3,HC03_VC36_2,HC03_VC37_4,HC03_VC38_3,HC03_VC39_2,HC03_VC40_1,HC03_VC42_3,HC03_VC43_2,HC03_VC44_4,HC03_VC45_1,HC03_VC46_3,HC03_VC47_1
2,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_3,HC03_VC38_2,HC03_VC39_1,HC03_VC40_1,HC03_VC42_2,HC03_VC43_2,HC03_VC44_3,HC03_VC45_1,HC03_VC46_2,HC03_VC47_2
3,high,HC03_VC35_3,HC03_VC36_4,HC03_VC37_2,HC03_VC38_1,HC03_VC39_2,HC03_VC40_1,HC03_VC42_3,HC03_VC43_3,HC03_VC44_2,HC03_VC45_2,HC03_VC46_3,HC03_VC47_2
4,high,HC03_VC35_3,HC03_VC36_2,HC03_VC37_4,HC03_VC38_1,HC03_VC39_2,HC03_VC40_1,HC03_VC42_3,HC03_VC43_2,HC03_VC44_3,HC03_VC45_1,HC03_VC46_3,HC03_VC47_1
5,high,HC03_VC35_1,HC03_VC36_1,HC03_VC37_4,HC03_VC38_2,HC03_VC39_3,HC03_VC40_3,HC03_VC42_1,HC03_VC43_1,HC03_VC44_4,HC03_VC45_2,HC03_VC46_3,HC03_VC47_3
6,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_3,HC03_VC38_1,HC03_VC39_1,HC03_VC40_3,HC03_VC42_3,HC03_VC43_2,HC03_VC44_3,HC03_VC45_4,HC03_VC46_1,HC03_VC47_3
7,high,HC03_VC35_2,HC03_VC36_3,HC03_VC37_4,HC03_VC38_1,HC03_VC39_4,HC03_VC40_1,HC03_VC42_2,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_2,HC03_VC47_2
8,high,HC03_VC35_3,HC03_VC36_3,HC03_VC37_4,HC03_VC38_1,HC03_VC39_1,HC03_VC40_1,HC03_VC42_3,HC03_VC43_3,HC03_VC44_4,HC03_VC45_1,HC03_VC46_1,HC03_VC47_1
9,high,HC03_VC35_4,HC03_VC36_1,HC03_VC37_4,HC03_VC38_1,HC03_VC39_3,HC03_VC40_1,HC03_VC42_4,HC03_VC43_1,HC03_VC44_4,HC03_VC45_1,HC03_VC46_1,HC03_VC47_2
10,high,HC03_VC35_3,HC03_VC36_4,HC03_VC37_2,HC03_VC38_2,HC03_VC39_1,HC03_VC40_2,HC03_VC42_3,HC03_VC43_4,HC03_VC44_2,HC03_VC45_2,HC03_VC46_1,HC03_VC47_3
11,high,HC03_VC35_3,HC03_VC36_2,HC03_VC37_4,HC03_VC38_1,HC03_VC39_1,HC03_VC40_3,HC03_VC42_3,HC03_VC43_3,HC03_VC44_4,HC03_VC45_1,HC03_VC46_1,HC03_VC47_1
