,drug,HC03_VC61,HC03_VC62,HC03_VC64,HC03_VC65,HC03_VC66,HC03_VC67,HC03_VC69,HC03_VC70,HC03_VC71
0,high,HC03_VC61_1,HC03_VC62_3,HC03_VC64_3,HC03_VC65_2,HC03_VC66_2,HC03_VC67_3,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
1,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_2,HC03_VC65_3,HC03_VC66_1,HC03_VC67_1,HC03_VC69_1,HC03_VC70_2,HC03_VC71_3
2,high,HC03_VC61_2,HC03_VC62_3,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_2,HC03_VC69_3,HC03_VC70_1,HC03_VC71_2
3,high,HC03_VC61_2,HC03_VC62_2,HC03_VC64_3,HC03_VC65_1,HC03_VC66_2,HC03_VC67_2,HC03_VC69_2,HC03_VC70_3,HC03_VC71_1
4,high,HC03_VC61_3,HC03_VC62_1,HC03_VC64_4,HC03_VC65_3,HC03_VC66_1,HC03_VC67_1,HC03_VC69_3,HC03_VC70_1,HC03_VC71_3
5,high,HC03_VC61_1,HC03_VC62_2,HC03_VC64_2,HC03_VC65_2,HC03_VC66_2,HC03_VC67_2,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
6,high,HC03_VC61_3,HC03_VC62_4,HC03_VC64_4,HC03_VC65_2,HC03_VC66_3,HC03_VC67_3,HC03_VC69_3,HC03_VC70_2,HC03_VC71_4
7,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_2,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_1,HC03_VC70_4,HC03_VC71_1
8,high,HC03_VC61_3,HC03_VC62_1,HC03_VC64_1,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_2,HC03_VC70_1,HC03_VC71_4
9,high,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_1,HC03_VC67_4,HC03_VC69_4,HC03_VC70_1,HC03_VC71_1
10,high,HC03_VC61_3,HC03_VC62_1,HC03_VC64_3,HC03_VC65_1,HC03_VC66_1,HC03_VC67_1,HC03_VC69_2,HC03_VC70_1,HC03_VC71_4
11,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_1,HC03_VC65_1,HC03_VC66_3,HC03_VC67_1,HC03_VC69_2,HC03_VC70_2,HC03_VC71_1
12,high,HC03_VC61_2,HC03_VC62_2,HC03_VC64_2,HC03_VC65_1,HC03_VC66_2,HC03_VC67_3,HC03_VC69_2,HC03_VC70_2,HC03_VC71_3
13,high,HC03_VC61_3,HC03_VC62_1,HC03_VC64_1,HC03_VC65_2,HC03_VC66_1,HC03_VC67_3,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
14,high,HC03_VC61_2,HC03_VC62_4,HC03_VC64_2,HC03_VC65_3,HC03_VC66_4,HC03_VC67_4,HC03_VC69_2,HC03_VC70_1,HC03_VC71_4
15,high,HC03_VC61_1,HC03_VC62_2,HC03_VC64_1,HC03_VC65_1,HC03_VC66_2,HC03_VC67_3,HC03_VC69_1,HC03_VC70_2,HC03_VC71_4
16,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_2,HC03_VC65_1,HC03_VC66_1,HC03_VC67_1,HC03_VC69_2,HC03_VC70_2,HC03_VC71_3
17,high,HC03_VC61_2,HC03_VC62_4,HC03_VC64_2,HC03_VC65_4,HC03_VC66_4,HC03_VC67_2,HC03_VC69_3,HC03_VC70_4,HC03_VC71_1
18,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_1,HC03_VC65_2,HC03_VC66_1,HC03_VC67_1,HC03_VC69_2,HC03_VC70_3,HC03_VC71_2
19,high,HC03_VC61_1,HC03_VC62_4,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_3,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
20,high,HC03_VC61_3,HC03_VC62_4,HC03_VC64_3,HC03_VC65_4,HC03_VC66_3,HC03_VC67_3,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
21,high,HC03_VC61_3,HC03_VC62_2,HC03_VC64_1,HC03_VC65_4,HC03_VC66_2,HC03_VC67_1,HC03_VC69_3,HC03_VC70_4,HC03_VC71_2
22,high,HC03_VC61_3,HC03_VC62_2,HC03_VC64_2,HC03_VC65_1,HC03_VC66_2,HC03_VC67_4,HC03_VC69_2,HC03_VC70_3,HC03_VC71_3
23,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_3,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_2,HC03_VC70_3,HC03_VC71_2
24,high,HC03_VC61_3,HC03_VC62_4,HC03_VC64_3,HC03_VC65_2,HC03_VC66_4,HC03_VC67_2,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
25,high,HC03_VC61_4,HC03_VC62_2,HC03_VC64_4,HC03_VC65_1,HC03_VC66_4,HC03_VC67_4,HC03_VC69_4,HC03_VC70_1,HC03_VC71_1
26,high,HC03_VC61_4,HC03_VC62_1,HC03_VC64_2,HC03_VC65_1,HC03_VC66_3,HC03_VC67_1,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
27,high,HC03_VC61_3,HC03_VC62_3,HC03_VC64_4,HC03_VC65_1,HC03_VC66_3,HC03_VC67_4,HC03_VC69_3,HC03_VC70_3,HC03_VC71_1
28,high,HC03_VC61_4,HC03_VC62_1,HC03_VC64_3,HC03_VC65_1,HC03_VC66_1,HC03_VC67_4,HC03_VC69_4,HC03_VC70_2,HC03_VC71_1
29,high,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_2,HC03_VC67_1,HC03_VC69_3,HC03_VC70_4,HC03_VC71_2
30,high,HC03_VC61_2,HC03_VC62_2,HC03_VC64_2,HC03_VC65_2,HC03_VC66_2,HC03_VC67_3,HC03_VC69_2,HC03_VC70_3,HC03_VC71_1
31,high,HC03_VC61_1,HC03_VC62_2,HC03_VC64_3,HC03_VC65_1,HC03_VC66_2,HC03_VC67_3,HC03_VC69_2,HC03_VC70_1,HC03_VC71_4
32,high,HC03_VC61_2,HC03_VC62_3,HC03_VC64_3,HC03_VC65_3,HC03_VC66_3,HC03_VC67_1,HC03_VC69_2,HC03_VC70_4,HC03_VC71_2
33,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_1,HC03_VC67_1,HC03_VC69_2,HC03_VC70_3,HC03_VC71_2
34,high,HC03_VC61_1,HC03_VC62_4,HC03_VC64_2,HC03_VC65_3,HC03_VC66_3,HC03_VC67_3,HC03_VC69_1,HC03_VC70_3,HC03_VC71_3
35,high,HC03_VC61_4,HC03_VC62_2,HC03_VC64_3,HC03_VC65_4,HC03_VC66_1,HC03_VC67_2,HC03_VC69_4,HC03_VC70_2,HC03_VC71_1
36,high,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_4,HC03_VC67_1,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
37,high,HC03_VC61_3,HC03_VC62_1,HC03_VC64_3,HC03_VC65_2,HC03_VC66_3,HC03_VC67_1,HC03_VC69_2,HC03_VC70_3,HC03_VC71_2
38,high,HC03_VC61_4,HC03_VC62_3,HC03_VC64_1,HC03_VC65_4,HC03_VC66_1,HC03_VC67_3,HC03_VC69_4,HC03_VC70_1,HC03_VC71_1
39,high,HC03_VC61_1,HC03_VC62_2,HC03_VC64_3,HC03_VC65_1,HC03_VC66_1,HC03_VC67_2,HC03_VC69_1,HC03_VC70_1,HC03_VC71_4
40,high,HC03_VC61_2,HC03_VC62_4,HC03_VC64_2,HC03_VC65_3,HC03_VC66_4,HC03_VC67_4,HC03_VC69_3,HC03_VC70_3,HC03_VC71_3
41,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_1,HC03_VC65_3,HC03_VC66_1,HC03_VC67_2,HC03_VC69_2,HC03_VC70_4,HC03_VC71_2
42,high,HC03_VC61_3,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_2,HC03_VC67_1,HC03_VC69_3,HC03_VC70_2,HC03_VC71_2
43,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_1,HC03_VC65_2,HC03_VC66_1,HC03_VC67_2,HC03_VC69_2,HC03_VC70_2,HC03_VC71_2
44,high,HC03_VC61_3,HC03_VC62_3,HC03_VC64_4,HC03_VC65_1,HC03_VC66_4,HC03_VC67_2,HC03_VC69_4,HC03_VC70_1,HC03_VC71_4
45,high,HC03_VC61_4,HC03_VC62_1,HC03_VC64_3,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_4,HC03_VC70_1,HC03_VC71_3
46,high,HC03_VC61_2,HC03_VC62_2,HC03_VC64_2,HC03_VC65_1,HC03_VC66_3,HC03_VC67_3,HC03_VC69_2,HC03_VC70_4,HC03_VC71_4
47,high,HC03_VC61_4,HC03_VC62_1,HC03_VC64_4,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
48,high,HC03_VC61_1,HC03_VC62_1,HC03_VC64_1,HC03_VC65_1,HC03_VC66_3,HC03_VC67_2,HC03_VC69_1,HC03_VC70_3,HC03_VC71_2
49,high,HC03_VC61_2,HC03_VC62_3,HC03_VC64_1,HC03_VC65_4,HC03_VC66_3,HC03_VC67_3,HC03_VC69_2,HC03_VC70_4,HC03_VC71_1
50,high,HC03_VC61_3,HC03_VC62_3,HC03_VC64_3,HC03_VC65_4,HC03_VC66_3,HC03_VC67_1,HC03_VC69_4,HC03_VC70_2,HC03_VC71_4
51,high,HC03_VC61_4,HC03_VC62_1,HC03_VC64_1,HC03_VC65_4,HC03_VC66_1,HC03_VC67_1,HC03_VC69_3,HC03_VC70_1,HC03_VC71_4
52,high,HC03_VC61_2,HC03_VC62_1,HC03_VC64_4,HC03_VC65_1,HC03_VC66_3,HC03_VC67_4,HC03_VC69_2,HC03_VC70_4,HC03_VC71_4
53,high,HC03_VC61_2,HC03_VC62_4,HC03_VC64_4,HC03_VC65_4,HC03_VC66_2,HC03_VC67_3,HC03_VC69_3,HC03_VC70_4,HC03_VC71_2
54,high,HC03_VC61_3,HC03_VC62_3,HC03_VC64_3,HC03_VC65_2,HC03_VC66_1,HC03_VC67_4,HC03_VC69_3,HC03_VC70_1,HC03_VC71_3
55,high,HC03_VC61_1,HC03_VC62_2,HC03_VC64_3,HC03_VC65_2,HC03_VC66_2,HC03_VC67_1,HC03_VC69_1,HC03_VC70_3,HC03_VC71_2
56,high,HC03_VC61_3,HC03_VC62_3,HC03_VC64_4,HC03_VC65_3,HC03_VC66_3,HC03_VC67_2,HC03_VC69_3,HC03_VC70_4,HC03_VC71_2
57,high,HC03_VC61_1,HC03_VC62_4,HC03_VC64_2,HC03_VC65_3,HC03_VC66_3,HC03_VC67_4,HC03_VC69_2,HC03_VC70_3,HC03_VC71_3
58,high,HC03_VC61_1,HC03_VC62_1,HC03_VC64_2,HC03_VC65_1,HC03_VC66_2,HC03_VC67_2,HC03_VC69_1,HC03_VC70_2,HC03_VC71_3
