,drug,HC03_VC75,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80
0,high,HC03_VC75_1,HC03_VC76_2,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
1,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_3,HC03_VC78_1,HC03_VC79_2,HC03_VC80_3
2,high,HC03_VC75_2,HC03_VC76_1,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_4
3,high,HC03_VC75_3,HC03_VC76_1,HC03_VC77_1,HC03_VC78_2,HC03_VC79_2,HC03_VC80_4
4,high,HC03_VC75_3,HC03_VC76_2,HC03_VC77_4,HC03_VC78_3,HC03_VC79_4,HC03_VC80_1
5,high,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
6,high,HC03_VC75_3,HC03_VC76_1,HC03_VC77_1,HC03_VC78_1,HC03_VC79_4,HC03_VC80_3
7,high,HC03_VC75_2,HC03_VC76_1,HC03_VC77_2,HC03_VC78_4,HC03_VC79_3,HC03_VC80_2
8,high,HC03_VC75_3,HC03_VC76_2,HC03_VC77_2,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
9,high,HC03_VC75_4,HC03_VC76_1,HC03_VC77_4,HC03_VC78_3,HC03_VC79_3,HC03_VC80_4
10,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_2,HC03_VC80_2
11,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_1,HC03_VC78_2,HC03_VC79_3,HC03_VC80_3
12,high,HC03_VC75_2,HC03_VC76_2,HC03_VC77_1,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
13,high,HC03_VC75_2,HC03_VC76_4,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
14,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_3
15,high,HC03_VC75_1,HC03_VC76_2,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
16,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_4,HC03_VC78_2,HC03_VC79_3,HC03_VC80_2
17,high,HC03_VC75_2,HC03_VC76_2,HC03_VC77_4,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
18,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_1,HC03_VC78_2,HC03_VC79_1,HC03_VC80_3
19,high,HC03_VC75_1,HC03_VC76_4,HC03_VC77_3,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
20,high,HC03_VC75_3,HC03_VC76_2,HC03_VC77_1,HC03_VC78_4,HC03_VC79_4,HC03_VC80_1
21,high,HC03_VC75_3,HC03_VC76_2,HC03_VC77_2,HC03_VC78_2,HC03_VC79_4,HC03_VC80_2
22,high,HC03_VC75_3,HC03_VC76_1,HC03_VC77_1,HC03_VC78_1,HC03_VC79_4,HC03_VC80_3
23,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
24,high,HC03_VC75_2,HC03_VC76_4,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_1
25,high,HC03_VC75_4,HC03_VC76_3,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_3
26,high,HC03_VC75_3,HC03_VC76_3,HC03_VC77_4,HC03_VC78_2,HC03_VC79_3,HC03_VC80_2
27,high,HC03_VC75_2,HC03_VC76_2,HC03_VC77_4,HC03_VC78_4,HC03_VC79_3,HC03_VC80_1
28,high,HC03_VC75_4,HC03_VC76_4,HC03_VC77_4,HC03_VC78_1,HC03_VC79_2,HC03_VC80_3
29,high,HC03_VC75_4,HC03_VC76_1,HC03_VC77_4,HC03_VC78_2,HC03_VC79_2,HC03_VC80_3
30,high,HC03_VC75_2,HC03_VC76_4,HC03_VC77_1,HC03_VC78_3,HC03_VC79_2,HC03_VC80_2
31,high,HC03_VC75_1,HC03_VC76_3,HC03_VC77_3,HC03_VC78_2,HC03_VC79_2,HC03_VC80_2
32,high,HC03_VC75_2,HC03_VC76_2,HC03_VC77_1,HC03_VC78_2,HC03_VC79_2,HC03_VC80_4
33,high,HC03_VC75_3,HC03_VC76_4,HC03_VC77_4,HC03_VC78_2,HC03_VC79_2,HC03_VC80_2
34,high,HC03_VC75_1,HC03_VC76_2,HC03_VC77_2,HC03_VC78_3,HC03_VC79_3,HC03_VC80_2
