,drug,HC03_VC84,HC03_VC85,HC03_VC86,HC03_VC87,HC03_VC88,HC03_VC89,HC03_VC90,HC03_VC91,HC03_VC93,HC03_VC94
0,high,HC03_VC84_1,HC03_VC85_2,HC03_VC86_1,HC03_VC87_3,HC03_VC88_3,HC03_VC89_3,HC03_VC90_2,HC03_VC91_1,HC03_VC93_3,HC03_VC94_1
1,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_4,HC03_VC89_3,HC03_VC90_3,HC03_VC91_3,HC03_VC93_4,HC03_VC94_3
2,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_1,HC03_VC87_2,HC03_VC88_3,HC03_VC89_2,HC03_VC90_3,HC03_VC91_3,HC03_VC93_3,HC03_VC94_3
3,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_1,HC03_VC88_4,HC03_VC89_3,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_4
4,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_2,HC03_VC87_4,HC03_VC88_3,HC03_VC89_4,HC03_VC90_4,HC03_VC91_2,HC03_VC93_4,HC03_VC94_3
5,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_3,HC03_VC87_4,HC03_VC88_2,HC03_VC89_2,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
6,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_2,HC03_VC87_3,HC03_VC88_2,HC03_VC89_1,HC03_VC90_3,HC03_VC91_2,HC03_VC93_3,HC03_VC94_3
7,high,HC03_VC84_2,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_3,HC03_VC89_4,HC03_VC90_4,HC03_VC91_2,HC03_VC93_4,HC03_VC94_3
8,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_2,HC03_VC87_4,HC03_VC88_1,HC03_VC89_1,HC03_VC90_2,HC03_VC91_2,HC03_VC93_3,HC03_VC94_2
9,high,HC03_VC84_4,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_3,HC03_VC89_4,HC03_VC90_3,HC03_VC91_2,HC03_VC93_4,HC03_VC94_2
10,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_2,HC03_VC87_2,HC03_VC88_4,HC03_VC89_1,HC03_VC90_4,HC03_VC91_4,HC03_VC93_4,HC03_VC94_4
11,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_2,HC03_VC88_4,HC03_VC89_4,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_4
12,high,HC03_VC84_2,HC03_VC85_4,HC03_VC86_3,HC03_VC87_1,HC03_VC88_2,HC03_VC89_1,HC03_VC90_2,HC03_VC91_2,HC03_VC93_1,HC03_VC94_2
13,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_2,HC03_VC87_4,HC03_VC88_4,HC03_VC89_3,HC03_VC90_2,HC03_VC91_1,HC03_VC93_3,HC03_VC94_1
14,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_1,HC03_VC87_4,HC03_VC88_2,HC03_VC89_4,HC03_VC90_2,HC03_VC91_3,HC03_VC93_4,HC03_VC94_2
15,high,HC03_VC84_1,HC03_VC85_4,HC03_VC86_4,HC03_VC87_4,HC03_VC88_1,HC03_VC89_1,HC03_VC90_1,HC03_VC91_1,HC03_VC93_1,HC03_VC94_1
16,high,HC03_VC84_2,HC03_VC85_2,HC03_VC86_1,HC03_VC87_4,HC03_VC88_1,HC03_VC89_1,HC03_VC90_2,HC03_VC91_3,HC03_VC93_3,HC03_VC94_3
17,high,HC03_VC84_2,HC03_VC85_3,HC03_VC86_3,HC03_VC87_2,HC03_VC88_3,HC03_VC89_2,HC03_VC90_2,HC03_VC91_2,HC03_VC93_2,HC03_VC94_2
18,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_4,HC03_VC89_2,HC03_VC90_4,HC03_VC91_3,HC03_VC93_4,HC03_VC94_4
19,high,HC03_VC84_1,HC03_VC85_2,HC03_VC86_2,HC03_VC87_4,HC03_VC88_2,HC03_VC89_4,HC03_VC90_1,HC03_VC91_1,HC03_VC93_3,HC03_VC94_1
20,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_3,HC03_VC87_4,HC03_VC88_3,HC03_VC89_3,HC03_VC90_1,HC03_VC91_1,HC03_VC93_3,HC03_VC94_1
21,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_2,HC03_VC87_3,HC03_VC88_1,HC03_VC89_3,HC03_VC90_2,HC03_VC91_2,HC03_VC93_3,HC03_VC94_2
22,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_2,HC03_VC87_4,HC03_VC88_1,HC03_VC89_1,HC03_VC90_3,HC03_VC91_3,HC03_VC93_3,HC03_VC94_3
23,high,HC03_VC84_3,HC03_VC85_1,HC03_VC86_1,HC03_VC87_3,HC03_VC88_4,HC03_VC89_3,HC03_VC90_4,HC03_VC91_2,HC03_VC93_4,HC03_VC94_4
24,high,HC03_VC84_3,HC03_VC85_2,HC03_VC86_2,HC03_VC87_2,HC03_VC88_3,HC03_VC89_2,HC03_VC90_3,HC03_VC91_3,HC03_VC93_3,HC03_VC94_3
