,drug,HC03_VC98,HC03_VC99
0,high,HC03_VC98_1,HC03_VC99_4
1,high,HC03_VC98_3,HC03_VC99_4
2,high,HC03_VC98_3,HC03_VC99_1
3,high,HC03_VC98_3,HC03_VC99_4
4,high,HC03_VC98_3,HC03_VC99_4
5,high,HC03_VC98_1,HC03_VC99_4
6,high,HC03_VC98_3,HC03_VC99_3
7,high,HC03_VC98_2,HC03_VC99_4
8,high,HC03_VC98_3,HC03_VC99_2
9,high,HC03_VC98_4,HC03_VC99_4
10,high,HC03_VC98_3,HC03_VC99_3
11,high,HC03_VC98_3,HC03_VC99_3
12,high,HC03_VC98_2,HC03_VC99_2
13,high,HC03_VC98_3,HC03_VC99_4
14,high,HC03_VC98_3,HC03_VC99_2
15,high,HC03_VC98_1,HC03_VC99_2
16,high,HC03_VC98_2,HC03_VC99_1
17,high,HC03_VC98_2,HC03_VC99_3
18,high,HC03_VC98_3,HC03_VC99_3
19,high,HC03_VC98_1,HC03_VC99_4
20,high,HC03_VC98_3,HC03_VC99_4
21,high,HC03_VC98_3,HC03_VC99_2
22,high,HC03_VC98_3,HC03_VC99_3
23,high,HC03_VC98_3,HC03_VC99_4
24,high,HC03_VC98_3,HC03_VC99_4
25,high,HC03_VC98_4,HC03_VC99_1
26,high,HC03_VC98_3,HC03_VC99_4
27,high,HC03_VC98_2,HC03_VC99_3
28,high,HC03_VC98_4,HC03_VC99_4
29,high,HC03_VC98_4,HC03_VC99_4
30,high,HC03_VC98_2,HC03_VC99_3
31,high,HC03_VC98_1,HC03_VC99_1
32,high,HC03_VC98_2,HC03_VC99_2
33,high,HC03_VC98_3,HC03_VC99_4
34,high,HC03_VC98_1,HC03_VC99_2
35,high,HC03_VC98_4,HC03_VC99_4
36,high,HC03_VC98_4,HC03_VC99_4
37,high,HC03_VC98_3,HC03_VC99_4
38,high,HC03_VC98_4,HC03_VC99_1
39,high,HC03_VC98_1,HC03_VC99_3
40,high,HC03_VC98_2,HC03_VC99_1
41,high,HC03_VC98_2,HC03_VC99_3
42,high,HC03_VC98_4,HC03_VC99_4
43,high,HC03_VC98_3,HC03_VC99_4
44,high,HC03_VC98_3,HC03_VC99_1
45,high,HC03_VC98_4,HC03_VC99_2
46,high,HC03_VC98_2,HC03_VC99_2
47,high,HC03_VC98_4,HC03_VC99_4
48,high,HC03_VC98_2,HC03_VC99_3
49,high,HC03_VC98_2,HC03_VC99_1
50,high,HC03_VC98_3,HC03_VC99_3
51,high,HC03_VC98_4,HC03_VC99_3
52,high,HC03_VC98_3,HC03_VC99_4
53,high,HC03_VC98_2,HC03_VC99_2
54,high,HC03_VC98_2,HC03_VC99_4
55,high,HC03_VC98_2,HC03_VC99_1
56,high,HC03_VC98_3,HC03_VC99_4
57,high,HC03_VC98_1,HC03_VC99_4
58,high,HC03_VC98_1,HC03_VC99_2
59,high,HC03_VC98_3,HC03_VC99_4
60,high,HC03_VC98_1,HC03_VC99_2
61,high,HC03_VC98_1,HC03_VC99_4
62,high,HC03_VC98_1,HC03_VC99_2
63,high,HC03_VC98_2,HC03_VC99_3
64,high,HC03_VC98_2,HC03_VC99_3
65,high,HC03_VC98_3,HC03_VC99_4
66,high,HC03_VC98_3,HC03_VC99_4
67,high,HC03_VC98_1,HC03_VC99_2
68,high,HC03_VC98_1,HC03_VC99_1
69,high,HC03_VC98_3,HC03_VC99_2
70,high,HC03_VC98_3,HC03_VC99_1
71,high,HC03_VC98_2,HC03_VC99_2
72,high,HC03_VC98_1,HC03_VC99_3
73,high,HC03_VC98_3,HC03_VC99_4
74,high,HC03_VC98_4,HC03_VC99_3
75,high,HC03_VC98_4,HC03_VC99_4
76,high,HC03_VC98_4,HC03_VC99_3
77,high,HC03_VC98_2,HC03_VC99_4
78,high,HC03_VC98_1,HC03_VC99_1
79,high,HC03_VC98_2,HC03_VC99_1
80,high,HC03_VC98_3,HC03_VC99_4
81,high,HC03_VC98_3,HC03_VC99_3
82,high,HC03_VC98_2,HC03_VC99_2
83,high,HC03_VC98_3,HC03_VC99_4
84,high,HC03_VC98_4,HC03_VC99_1
85,high,HC03_VC98_4,HC03_VC99_4
86,high,HC03_VC98_4,HC03_VC99_2
87,high,HC03_VC98_3,HC03_VC99_1
88,high,HC03_VC98_3,HC03_VC99_4
89,high,HC03_VC98_2,HC03_VC99_2
90,high,HC03_VC98_4,HC03_VC99_4
91,high,HC03_VC98_3,HC03_VC99_1
92,high,HC03_VC98_2,HC03_VC99_3
93,high,HC03_VC98_3,HC03_VC99_2
94,high,HC03_VC98_4,HC03_VC99_3
95,high,HC03_VC98_3,HC03_VC99_4
96,high,HC03_VC98_1,HC03_VC99_4
97,high,HC03_VC98_3,HC03_VC99_3
98,high,HC03_VC98_4,HC03_VC99_3
99,high,HC03_VC98_4,HC03_VC99_3
100,high,HC03_VC98_1,HC03_VC99_2
101,high,HC03_VC98_3,HC03_VC99_2
102,high,HC03_VC98_2,HC03_VC99_2
103,high,HC03_VC98_3,HC03_VC99_4
104,high,HC03_VC98_3,HC03_VC99_2
105,high,HC03_VC98_1,HC03_VC99_3
106,high,HC03_VC98_2,HC03_VC99_3
107,high,HC03_VC98_2,HC03_VC99_1
108,high,HC03_VC98_4,HC03_VC99_4
109,high,HC03_VC98_3,HC03_VC99_4
110,high,HC03_VC98_1,HC03_VC99_3
111,high,HC03_VC98_2,HC03_VC99_4
112,high,HC03_VC98_2,HC03_VC99_3
113,high,HC03_VC98_3,HC03_VC99_2
