,drug,HC03_VC117,HC03_VC118,HC03_VC119,HC03_VC120,HC03_VC121,HC03_VC122,HC03_VC123,HC03_VC124
0,high,HC03_VC117_1,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_4,HC03_VC122_4,HC03_VC123_2,HC03_VC124_1
1,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_1,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_3
2,high,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
3,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_3,HC03_VC123_4,HC03_VC124_2
4,high,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_3,HC03_VC122_2,HC03_VC123_4,HC03_VC124_2
5,high,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_3,HC03_VC122_4,HC03_VC123_2,HC03_VC124_1
6,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_2
7,high,HC03_VC117_2,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_2,HC03_VC123_1,HC03_VC124_2
8,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_2
9,high,HC03_VC117_4,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_1,HC03_VC122_1,HC03_VC123_3,HC03_VC124_3
10,high,HC03_VC117_3,HC03_VC118_1,HC03_VC119_4,HC03_VC120_4,HC03_VC121_4,HC03_VC122_4,HC03_VC123_3,HC03_VC124_2
11,high,HC03_VC117_3,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_3,HC03_VC124_1
12,high,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_1,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_2
13,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_2
14,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_3,HC03_VC121_3,HC03_VC122_2,HC03_VC123_3,HC03_VC124_3
15,high,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_3,HC03_VC122_3,HC03_VC123_2,HC03_VC124_1
16,high,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_1,HC03_VC123_3,HC03_VC124_2
17,high,HC03_VC117_2,HC03_VC118_3,HC03_VC119_2,HC03_VC120_2,HC03_VC121_2,HC03_VC122_2,HC03_VC123_2,HC03_VC124_1
18,high,HC03_VC117_3,HC03_VC118_2,HC03_VC119_3,HC03_VC120_2,HC03_VC121_4,HC03_VC122_4,HC03_VC123_4,HC03_VC124_3
19,high,HC03_VC117_1,HC03_VC118_4,HC03_VC119_1,HC03_VC120_1,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
20,high,HC03_VC117_3,HC03_VC118_4,HC03_VC119_1,HC03_VC120_2,HC03_VC121_1,HC03_VC122_1,HC03_VC123_1,HC03_VC124_1
