,drug,HC03_VC03,HC03_VC04,HC03_VC05,HC03_VC06,HC03_VC07,HC03_VC08,HC03_VC09,HC03_VC10,HC03_VC11,HC03_VC12
0,high,HC03_VC03_4,HC03_VC04_4,HC03_VC05_4,HC03_VC06_4,HC03_VC07_4,HC03_VC08_2,HC03_VC09_3,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
1,high,HC03_VC03_1,HC03_VC04_4,HC03_VC05_2,HC03_VC06_4,HC03_VC07_3,HC03_VC08_3,HC03_VC09_3,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
2,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_1,HC03_VC06_4,HC03_VC07_2,HC03_VC08_1,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
3,high,HC03_VC03_1,HC03_VC04_3,HC03_VC05_2,HC03_VC06_3,HC03_VC07_2,HC03_VC08_2,HC03_VC09_2,HC03_VC10_3,HC03_VC11_3,HC03_VC12_2
4,high,HC03_VC03_4,HC03_VC04_3,HC03_VC05_2,HC03_VC06_3,HC03_VC07_3,HC03_VC08_1,HC03_VC09_1,HC03_VC10_3,HC03_VC11_3,HC03_VC12_1
5,high,HC03_VC03_2,HC03_VC04_3,HC03_VC05_3,HC03_VC06_3,HC03_VC07_3,HC03_VC08_1,HC03_VC09_2,HC03_VC10_2,HC03_VC11_3,HC03_VC12_2
6,high,HC03_VC03_2,HC03_VC04_3,HC03_VC05_3,HC03_VC06_3,HC03_VC07_3,HC03_VC08_2,HC03_VC09_3,HC03_VC10_2,HC03_VC11_2,HC03_VC12_2
7,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_4,HC03_VC06_2,HC03_VC07_2,HC03_VC08_2,HC03_VC09_3,HC03_VC10_3,HC03_VC11_4,HC03_VC12_2
8,high,HC03_VC03_4,HC03_VC04_2,HC03_VC05_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_3,HC03_VC11_4,HC03_VC12_3
9,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_1,HC03_VC06_2,HC03_VC07_1,HC03_VC08_3,HC03_VC09_2,HC03_VC10_3,HC03_VC11_3,HC03_VC12_2
10,high,HC03_VC03_1,HC03_VC04_4,HC03_VC05_3,HC03_VC06_4,HC03_VC07_4,HC03_VC08_2,HC03_VC09_3,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
11,high,HC03_VC03_3,HC03_VC04_2,HC03_VC05_4,HC03_VC06_2,HC03_VC07_3,HC03_VC08_2,HC03_VC09_4,HC03_VC10_2,HC03_VC11_4,HC03_VC12_3
12,high,HC03_VC03_2,HC03_VC04_3,HC03_VC05_2,HC03_VC06_3,HC03_VC07_3,HC03_VC08_1,HC03_VC09_1,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2
13,high,HC03_VC03_3,HC03_VC04_2,HC03_VC05_1,HC03_VC06_3,HC03_VC07_1,HC03_VC08_1,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2
14,high,HC03_VC03_3,HC03_VC04_2,HC03_VC05_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_2,HC03_VC09_2,HC03_VC10_2,HC03_VC11_2,HC03_VC12_3
15,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_4,HC03_VC06_1,HC03_VC07_3,HC03_VC08_3,HC03_VC09_2,HC03_VC10_4,HC03_VC11_4,HC03_VC12_2
16,high,HC03_VC03_3,HC03_VC04_2,HC03_VC05_4,HC03_VC06_1,HC03_VC07_3,HC03_VC08_2,HC03_VC09_4,HC03_VC10_3,HC03_VC11_4,HC03_VC12_3
17,high,HC03_VC03_1,HC03_VC04_4,HC03_VC05_2,HC03_VC06_4,HC03_VC07_4,HC03_VC08_2,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
18,high,HC03_VC03_4,HC03_VC04_4,HC03_VC05_3,HC03_VC06_4,HC03_VC07_4,HC03_VC08_4,HC03_VC09_2,HC03_VC10_1,HC03_VC11_1,HC03_VC12_1
19,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_3,HC03_VC06_3,HC03_VC07_2,HC03_VC08_1,HC03_VC09_2,HC03_VC10_3,HC03_VC11_3,HC03_VC12_1
20,high,HC03_VC03_3,HC03_VC04_2,HC03_VC05_2,HC03_VC06_3,HC03_VC07_2,HC03_VC08_1,HC03_VC09_4,HC03_VC10_1,HC03_VC11_2,HC03_VC12_3
21,high,HC03_VC03_4,HC03_VC04_4,HC03_VC05_4,HC03_VC06_3,HC03_VC07_4,HC03_VC08_4,HC03_VC09_4,HC03_VC10_4,HC03_VC11_4,HC03_VC12_1
22,high,HC03_VC03_3,HC03_VC04_4,HC03_VC05_4,HC03_VC06_3,HC03_VC07_4,HC03_VC08_2,HC03_VC09_3,HC03_VC10_4,HC03_VC11_4,HC03_VC12_1
23,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_3,HC03_VC06_2,HC03_VC07_2,HC03_VC08_3,HC03_VC09_1,HC03_VC10_4,HC03_VC11_4,HC03_VC12_2
24,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_2,HC03_VC06_2,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_2,HC03_VC11_2,HC03_VC12_3
25,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_1,HC03_VC06_3,HC03_VC07_2,HC03_VC08_2,HC03_VC09_3,HC03_VC10_1,HC03_VC11_1,HC03_VC12_2
26,high,HC03_VC03_2,HC03_VC04_2,HC03_VC05_1,HC03_VC06_2,HC03_VC07_2,HC03_VC08_2,HC03_VC09_1,HC03_VC10_2,HC03_VC11_1,HC03_VC12_2
27,high,HC03_VC03_3,HC03_VC04_3,HC03_VC05_3,HC03_VC06_2,HC03_VC07_2,HC03_VC08_1,HC03_VC09_1,HC03_VC10_3,HC03_VC11_4,HC03_VC12_2
